timestamp_iso,red,N,L,rkk,px1,rho_kx_obj,rho_kx_fin,frac_mayoria,t_cargar_s,t_precompute_s,t_asignar_attrs_s,t_mayoria_s,seed
2025-11-08T00:29:29-03:00,Reactome,7799,35803,-0.054801,0.30,0.47,+0.311068,0.618541,0.839749,0.012768,13.443946,0.131226,12021974
2025-11-08T00:29:42-03:00,Reactome,7799,35803,-0.054801,0.30,0.53,+0.312588,0.612002,0.839749,0.012768,12.071200,0.049952,12021974
2025-11-08T00:29:56-03:00,Reactome,7799,35803,-0.054801,0.30,0.60,+0.304940,0.594692,0.839749,0.012768,14.333161,0.058643,12021974
2025-11-08T00:28:34-03:00,Reactome,7799,35803,-0.054801,0.20,0.00,-0.009872,0.064111,0.953022,0.015521,0.036139,0.111039,12021974
2025-11-08T00:28:36-03:00,Reactome,7799,35803,-0.054801,0.20,0.07,+0.056953,0.100013,0.953022,0.015521,1.826623,0.057601,12021974
2025-11-08T00:28:39-03:00,Reactome,7799,35803,-0.054801,0.20,0.13,+0.124038,0.146429,0.953022,0.015521,2.439034,0.063222,12021974
2025-11-08T00:28:45-03:00,Reactome,7799,35803,-0.054801,0.20,0.20,+0.190082,0.227850,0.953022,0.015521,6.320042,0.096470,12021974
2025-11-08T00:28:56-03:00,Reactome,7799,35803,-0.054801,0.20,0.27,+0.257071,0.336325,0.953022,0.015521,11.267579,0.059832,12021974
2025-11-08T00:29:10-03:00,Reactome,7799,35803,-0.054801,0.20,0.33,+0.323334,0.448775,0.953022,0.015521,13.360606,0.050791,12021974
2025-11-08T00:29:29-03:00,Reactome,7799,35803,-0.054801,0.20,0.40,+0.335276,0.446980,0.953022,0.015521,18.798063,0.110980,12021974
2025-11-08T00:29:45-03:00,Reactome,7799,35803,-0.054801,0.20,0.47,+0.334371,0.465573,0.953022,0.015521,16.369621,0.053099,12021974
2025-11-08T00:30:05-03:00,Reactome,7799,35803,-0.054801,0.20,0.53,+0.324389,0.437107,0.953022,0.015521,19.344389,0.150738,12021974
2025-11-08T00:30:26-03:00,Reactome,7799,35803,-0.054801,0.20,0.60,+0.322703,0.429286,0.953022,0.015521,20.956069,0.123481,12021974
2025-11-08T00:28:41-03:00,Digg,27567,175892,+0.165986,0.05,0.00,+0.008931,0.019298,5.661049,0.386980,0.014508,0.256510,12021974
2025-11-08T00:28:43-03:00,Digg,27567,175892,+0.165986,0.05,0.07,+0.057240,0.027061,5.661049,0.386980,2.220599,0.236744,12021974
2025-11-08T00:28:50-03:00,Digg,27567,175892,+0.165986,0.05,0.13,+0.123359,0.034244,5.661049,0.386980,6.752472,0.249444,12021974
2025-11-08T00:28:59-03:00,Digg,27567,175892,+0.165986,0.05,0.20,+0.190078,0.036892,5.661049,0.386980,9.031177,0.242035,12021974
2025-11-08T00:29:12-03:00,Digg,27567,175892,+0.165986,0.05,0.27,+0.256685,0.047412,5.661049,0.386980,12.677054,0.275190,12021974
2025-11-08T00:29:32-03:00,Digg,27567,175892,+0.165986,0.05,0.33,+0.324202,0.053978,5.661049,0.386980,19.379124,0.224780,12021974
2025-11-08T00:29:54-03:00,Digg,27567,175892,+0.165986,0.05,0.40,+0.335284,0.060289,5.661049,0.386980,21.522779,0.375647,12021974
2025-11-08T00:30:28-03:00,Digg,27567,175892,+0.165986,0.05,0.47,+0.318754,0.051620,5.661049,0.386980,34.361502,0.282787,12021974
2025-11-08T00:30:52-03:00,Digg,27567,175892,+0.165986,0.05,0.53,+0.315819,0.058802,5.661049,0.386980,23.358049,0.253576,12021974
2025-11-08T00:31:13-03:00,Digg,27567,175892,+0.165986,0.05,0.60,+0.330319,0.054522,5.661049,0.386980,21.058690,0.247181,12021974
2025-11-08T00:28:37-03:00,Twitter,25848,62565,-0.345777,0.05,0.00,-0.000786,0.029673,2.484721,0.044690,0.003288,0.147253,12021974
2025-11-08T00:28:40-03:00,Twitter,25848,62565,-0.345777,0.05,0.07,+0.056673,0.106043,2.484721,0.044690,3.643325,0.134958,12021974
2025-11-08T00:28:49-03:00,Twitter,25848,62565,-0.345777,0.05,0.13,+0.123603,0.145079,2.484721,0.044690,8.209177,0.171576,12021974
2025-11-08T00:29:07-03:00,Twitter,25848,62565,-0.345777,0.05,0.20,+0.182496,0.226671,2.484721,0.044690,18.117400,0.177328,12021974
2025-11-08T00:29:26-03:00,Twitter,25848,62565,-0.345777,0.05,0.27,+0.209723,0.265862,2.484721,0.044690,18.991660,0.187002,12021974
2025-11-08T00:29:45-03:00,Twitter,25848,62565,-0.345777,0.05,0.33,+0.209596,0.259478,2.484721,0.044690,18.829493,0.174612,12021974
2025-11-08T00:30:19-03:00,Twitter,25848,62565,-0.345777,0.05,0.40,+0.210326,0.247292,2.484721,0.044690,33.163767,0.209539,12021974
2025-11-08T00:30:42-03:00,Twitter,25848,62565,-0.345777,0.05,0.47,+0.196441,0.257196,2.484721,0.044690,23.539550,0.178773,12021974
2025-11-08T00:31:04-03:00,Twitter,25848,62565,-0.345777,0.05,0.53,+0.206065,0.274064,2.484721,0.044690,21.646996,0.133995,12021974
2025-11-08T00:31:23-03:00,Twitter,25848,62565,-0.345777,0.05,0.60,+0.200863,0.255107,2.484721,0.044690,18.826086,0.160115,12021974
2025-11-08T00:28:41-03:00,Digg,27567,175892,+0.165986,0.10,0.00,-0.001398,0.039576,5.709265,0.357035,0.004613,0.273505,12021974
2025-11-08T00:28:44-03:00,Digg,27567,175892,+0.165986,0.10,0.07,+0.056752,0.052019,5.709265,0.357035,2.420314,0.210427,12021974
2025-11-08T00:28:51-03:00,Digg,27567,175892,+0.165986,0.10,0.13,+0.123559,0.060725,5.709265,0.357035,7.129630,0.230168,12021974
2025-11-08T00:29:02-03:00,Digg,27567,175892,+0.165986,0.10,0.20,+0.190229,0.079660,5.709265,0.357035,11.054852,0.259651,12021974
2025-11-08T00:29:21-03:00,Digg,27567,175892,+0.165986,0.10,0.27,+0.256709,0.097943,5.709265,0.357035,18.389993,0.366282,12021974
2025-11-08T00:29:42-03:00,Digg,27567,175892,+0.165986,0.10,0.33,+0.263222,0.090398,5.709265,0.357035,20.578295,0.190726,12021974
2025-11-08T00:30:14-03:00,Digg,27567,175892,+0.165986,0.10,0.40,+0.265249,0.097145,5.709265,0.357035,32.304890,0.356396,12021974
2025-11-08T00:30:40-03:00,Digg,27567,175892,+0.165986,0.10,0.47,+0.267358,0.095658,5.709265,0.357035,25.369675,0.286947,12021974
2025-11-08T00:31:03-03:00,Digg,27567,175892,+0.165986,0.10,0.53,+0.274777,0.102296,5.709265,0.357035,22.887205,0.293469,12021974
2025-11-08T00:31:23-03:00,Digg,27567,175892,+0.165986,0.10,0.60,+0.276937,0.101063,5.709265,0.357035,19.949599,0.216524,12021974
2025-11-08T00:28:42-03:00,Digg,27567,175892,+0.165986,0.30,0.00,+0.000260,0.159575,6.316727,0.323808,0.006225,0.280705,12021974
2025-11-08T00:28:46-03:00,Digg,27567,175892,+0.165986,0.30,0.07,+0.056973,0.194327,6.316727,0.323808,4.390406,0.267870,12021974
2025-11-08T00:28:58-03:00,Digg,27567,175892,+0.165986,0.30,0.13,+0.123339,0.271339,6.316727,0.323808,11.616852,0.235148,12021974
2025-11-08T00:29:19-03:00,Digg,27567,175892,+0.165986,0.30,0.20,+0.183919,0.377335,6.316727,0.323808,20.251289,0.254683,12021974
2025-11-08T00:29:38-03:00,Digg,27567,175892,+0.165986,0.30,0.27,+0.181392,0.370262,6.316727,0.323808,19.066652,0.250989,12021974
2025-11-08T00:30:05-03:00,Digg,27567,175892,+0.165986,0.30,0.33,+0.188825,0.380564,6.316727,0.323808,26.749338,0.559158,12021974
2025-11-08T00:30:36-03:00,Digg,27567,175892,+0.165986,0.30,0.40,+0.190498,0.389814,6.316727,0.323808,30.574630,0.250287,12021974
2025-11-08T00:30:59-03:00,Digg,27567,175892,+0.165986,0.30,0.47,+0.190855,0.390576,6.316727,0.323808,22.436419,0.352720,12021974
2025-11-08T00:31:20-03:00,Digg,27567,175892,+0.165986,0.30,0.53,+0.193751,0.392027,6.316727,0.323808,21.090576,0.243348,12021974
2025-11-08T00:31:38-03:00,Digg,27567,175892,+0.165986,0.30,0.60,+0.186423,0.380926,6.316727,0.323808,17.472990,0.231853,12021974
2025-11-08T00:28:38-03:00,Twitter,25848,62565,-0.345777,0.10,0.00,+0.005906,0.071418,3.401898,0.055456,0.003148,0.173960,12021974
2025-11-08T00:28:49-03:00,Twitter,25848,62565,-0.345777,0.10,0.07,+0.060236,0.142371,3.401898,0.055456,9.907349,0.489069,12021974
2025-11-08T00:29:07-03:00,Twitter,25848,62565,-0.345777,0.10,0.13,+0.123473,0.244468,3.401898,0.055456,18.383242,0.464549,12021974
2025-11-08T00:29:39-03:00,Twitter,25848,62565,-0.345777,0.10,0.20,+0.157749,0.308535,3.401898,0.055456,31.845669,0.226866,12021974
2025-11-08T00:30:12-03:00,Twitter,25848,62565,-0.345777,0.10,0.27,+0.142455,0.271123,3.401898,0.055456,32.517287,0.352124,12021974
2025-11-08T00:30:39-03:00,Twitter,25848,62565,-0.345777,0.10,0.33,+0.169881,0.368268,3.401898,0.055456,26.698572,0.185028,12021974
2025-11-08T00:31:03-03:00,Twitter,25848,62565,-0.345777,0.10,0.40,+0.151517,0.280099,3.401898,0.055456,23.721147,0.176715,12021974
2025-11-08T00:31:24-03:00,Twitter,25848,62565,-0.345777,0.10,0.47,+0.159186,0.327027,3.401898,0.055456,20.283166,0.171183,12021974
2025-11-08T00:31:41-03:00,Twitter,25848,62565,-0.345777,0.10,0.53,+0.175559,0.342464,3.401898,0.055456,17.650909,0.135764,12021974
2025-11-08T00:31:58-03:00,Twitter,25848,62565,-0.345777,0.10,0.60,+0.154026,0.323894,3.401898,0.055456,16.549303,0.132504,12021974
2025-11-08T00:28:43-03:00,Digg,27567,175892,+0.165986,0.20,0.00,+0.009835,0.092973,7.199525,0.497061,0.135978,0.361114,12021974
2025-11-08T00:28:52-03:00,Digg,27567,175892,+0.165986,0.20,0.07,+0.056766,0.114739,7.199525,0.497061,8.680538,0.387370,12021974
2025-11-08T00:29:08-03:00,Digg,27567,175892,+0.165986,0.20,0.13,+0.123380,0.139442,7.199525,0.497061,15.064701,0.413012,12021974
2025-11-08T00:29:32-03:00,Digg,27567,175892,+0.165986,0.20,0.20,+0.190073,0.177023,7.199525,0.497061,23.894722,0.361604,12021974
2025-11-08T00:30:02-03:00,Digg,27567,175892,+0.165986,0.20,0.27,+0.219731,0.208546,7.199525,0.497061,30.108532,0.454855,12021974
2025-11-08T00:30:36-03:00,Digg,27567,175892,+0.165986,0.20,0.33,+0.234541,0.224979,7.199525,0.497061,33.155532,0.274164,12021974
2025-11-08T00:31:00-03:00,Digg,27567,175892,+0.165986,0.20,0.40,+0.213095,0.210469,7.199525,0.497061,23.959544,0.297201,12021974
2025-11-08T00:31:22-03:00,Digg,27567,175892,+0.165986,0.20,0.47,+0.214470,0.197845,7.199525,0.497061,21.718389,0.252781,12021974
2025-11-08T00:31:41-03:00,Digg,27567,175892,+0.165986,0.20,0.53,+0.232460,0.226140,7.199525,0.497061,18.323533,0.217097,12021974
2025-11-08T00:31:58-03:00,Digg,27567,175892,+0.165986,0.20,0.60,+0.206290,0.197809,7.199525,0.497061,17.354505,0.189937,12021974
2025-11-08T00:28:38-03:00,Twitter,25848,62565,-0.345777,0.20,0.00,+0.006136,0.167827,2.933698,0.043052,0.004112,0.159654,12021974
2025-11-08T00:28:50-03:00,Twitter,25848,62565,-0.345777,0.20,0.07,+0.056741,0.251896,2.933698,0.043052,11.843187,0.267607,12021974
2025-11-08T00:29:17-03:00,Twitter,25848,62565,-0.345777,0.20,0.13,+0.122344,0.435701,2.933698,0.043052,26.610385,0.433097,12021974
2025-11-08T00:29:43-03:00,Twitter,25848,62565,-0.345777,0.20,0.20,+0.119043,0.401308,2.933698,0.043052,25.871166,0.182382,12021974
2025-11-08T00:30:17-03:00,Twitter,25848,62565,-0.345777,0.20,0.27,+0.115317,0.410399,2.933698,0.043052,33.704740,0.216678,12021974
2025-11-08T00:30:42-03:00,Twitter,25848,62565,-0.345777,0.20,0.33,+0.115922,0.393996,2.933698,0.043052,24.966355,0.190174,12021974
2025-11-08T00:31:05-03:00,Twitter,25848,62565,-0.345777,0.20,0.40,+0.115797,0.391907,2.933698,0.043052,22.867907,0.198805,12021974
2025-11-08T00:31:25-03:00,Twitter,25848,62565,-0.345777,0.20,0.47,+0.119543,0.400573,2.933698,0.043052,19.802480,0.153156,12021974
2025-11-08T00:31:43-03:00,Twitter,25848,62565,-0.345777,0.20,0.53,+0.119834,0.407691,2.933698,0.043052,17.279549,0.150434,12021974
2025-11-08T00:31:59-03:00,Twitter,25848,62565,-0.345777,0.20,0.60,+0.133483,0.462086,2.933698,0.043052,16.398467,0.106738,12021974
2025-11-08T00:28:38-03:00,Twitter,25848,62565,-0.345777,0.30,0.00,+0.007168,0.249420,3.650647,0.033317,0.003389,0.165293,12021974
2025-11-08T00:28:53-03:00,Twitter,25848,62565,-0.345777,0.30,0.07,+0.056786,0.379836,3.650647,0.033317,14.450975,0.220978,12021974
2025-11-08T00:29:22-03:00,Twitter,25848,62565,-0.345777,0.30,0.13,+0.112147,0.567239,3.650647,0.033317,28.975015,0.150480,12021974
2025-11-08T00:29:49-03:00,Twitter,25848,62565,-0.345777,0.30,0.20,+0.104539,0.551842,3.650647,0.033317,26.760983,0.223372,12021974
2025-11-08T00:30:23-03:00,Twitter,25848,62565,-0.345777,0.30,0.27,+0.104224,0.544762,3.650647,0.033317,33.618707,0.233601,12021974
2025-11-08T00:30:46-03:00,Twitter,25848,62565,-0.345777,0.30,0.33,+0.108054,0.551842,3.650647,0.033317,23.423392,0.185813,12021974
2025-11-08T00:31:09-03:00,Twitter,25848,62565,-0.345777,0.30,0.40,+0.105528,0.563680,3.650647,0.033317,22.701705,0.179191,12021974
2025-11-08T00:31:29-03:00,Twitter,25848,62565,-0.345777,0.30,0.47,+0.103131,0.536018,3.650647,0.033317,19.011523,0.178032,12021974
2025-11-08T00:31:46-03:00,Twitter,25848,62565,-0.345777,0.30,0.53,+0.111860,0.596835,3.650647,0.033317,17.126385,0.139103,12021974
2025-11-08T00:32:02-03:00,Twitter,25848,62565,-0.345777,0.30,0.60,+0.114790,0.573545,3.650647,0.033317,16.012733,0.117107,12021974
2025-11-08T00:28:44-03:00,Enron,33696,180811,-0.116499,0.05,0.00,-0.000747,0.014542,7.478923,0.185489,0.008736,0.312301,12021974
2025-11-08T00:28:53-03:00,Enron,33696,180811,-0.116499,0.05,0.07,+0.056759,0.033713,7.478923,0.185489,8.701733,0.535302,12021974
2025-11-08T00:29:10-03:00,Enron,33696,180811,-0.116499,0.05,0.13,+0.124913,0.051698,7.478923,0.185489,16.818098,0.227688,12021974
2025-11-08T00:29:41-03:00,Enron,33696,180811,-0.116499,0.05,0.20,+0.190274,0.112684,7.478923,0.185489,30.921360,0.266164,12021974
2025-11-08T00:30:20-03:00,Enron,33696,180811,-0.116499,0.05,0.27,+0.199472,0.129333,7.478923,0.185489,38.254412,0.387818,12021974
2025-11-08T00:30:49-03:00,Enron,33696,180811,-0.116499,0.05,0.33,+0.194918,0.092800,7.478923,0.185489,28.419977,0.345017,12021974
2025-11-08T00:31:15-03:00,Enron,33696,180811,-0.116499,0.05,0.40,+0.201772,0.102653,7.478923,0.185489,26.011002,0.226900,12021974
2025-11-08T00:31:37-03:00,Enron,33696,180811,-0.116499,0.05,0.47,+0.185901,0.075973,7.478923,0.185489,21.479956,0.335435,12021974
2025-11-08T00:31:57-03:00,Enron,33696,180811,-0.116499,0.05,0.53,+0.188535,0.091554,7.478923,0.185489,19.841409,0.235140,12021974
2025-11-08T00:32:13-03:00,Enron,33696,180811,-0.116499,0.05,0.60,+0.200055,0.095293,7.478923,0.185489,15.696639,0.195240,12021974
2025-11-08T00:28:43-03:00,Enron,33696,180811,-0.116499,0.10,0.00,-0.009647,0.027392,6.599847,0.063124,0.145237,0.443696,12021974
2025-11-08T00:28:53-03:00,Enron,33696,180811,-0.116499,0.10,0.07,+0.056836,0.098202,6.599847,0.063124,8.969445,0.523364,12021974
2025-11-08T00:29:15-03:00,Enron,33696,180811,-0.116499,0.10,0.13,+0.123347,0.102950,6.599847,0.063124,21.821828,0.352501,12021974
2025-11-08T00:29:50-03:00,Enron,33696,180811,-0.116499,0.10,0.20,+0.151437,0.142509,6.599847,0.063124,35.073404,0.455651,12021974
2025-11-08T00:30:28-03:00,Enron,33696,180811,-0.116499,0.10,0.27,+0.153850,0.154321,6.599847,0.063124,37.568515,0.302427,12021974
2025-11-08T00:30:57-03:00,Enron,33696,180811,-0.116499,0.10,0.33,+0.150497,0.103336,6.599847,0.063124,27.853934,0.337541,12021974
2025-11-08T00:31:22-03:00,Enron,33696,180811,-0.116499,0.10,0.40,+0.162943,0.149869,6.599847,0.063124,24.720190,0.292735,12021974
2025-11-08T00:31:42-03:00,Enron,33696,180811,-0.116499,0.10,0.47,+0.157056,0.156547,6.599847,0.063124,20.487905,0.206880,12021974
2025-11-08T00:32:01-03:00,Enron,33696,180811,-0.116499,0.10,0.53,+0.159135,0.162720,6.599847,0.063124,18.968166,0.203119,12021974
